,Place,room,bed,Condition,price,Rating,reviews
29102,"Klong Khong Beach, Ko Lanta",Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 129.2feet²1 large double bed,Good,16.0,7.7,50.0
29103,Ban Cha-om,Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 279.9feet²1 extra-large double bed,Good,44.0,7.7,21.0
29104,Ban Bua Yai,Bungalow with Garden View,Entire bungalow • 1 bedroom • 1 bathroom • 226feet²1 large double bed,Exceptional,16.0,9.5,4.0
29105,Ban Phe,Double or Twin Room with Pool View,Multiple bed types,Fabulous,39.0,8.8,48.0
29106,Mae Chan,Twin Room with View,2 single beds,Fabulous,19.0,8.8,24.0
29107,Ban Nong Ben,Queen Room,1 double bed,Good,13.0,7.8,28.0
29108,Ban Khlong Tamru,Standard Double or Twin Room,Beds: 1 double or 2 singles,Review score,23.0,5.2,26.0
29109,Rawai Beach,Studio (2 Adults),Entire studio • 1 bathroom • 1 kitchen • 452.1feet²1 extra-large double bed,Fabulous,64.0,8.6,242.0
29110,Ban Nong Ban Kao,Budget Double Room,1 large double bed,Good,23.0,7.5,2.0
29111,Sai Yok,Standard Double Room with Fan,1 large double bed,Very good,16.0,8.2,99.0
29112,Mae Nam,Garden Bungalow,Entire bungalow • 1 bedroom • 1 bathroom • 430.6feet²2 single beds,Good,51.0,7.5,150.0
29113,"Sairee Beach, Koh Tao",Deluxe Double or Twin Room with Pool View,Multiple bed types,Good,81.0,7.2,270.0
29114,Ban Pru Yai,Standard King Room,1 extra-large double bed,Fabulous,21.0,8.8,4.0
29115,"Mueang Kao, Sukhothai",King Room with Balcony,1 extra-large double bed,Superb,24.0,9.4,57.0
29116,Ko Samed,Garden Villa with special price,1 extra-large double bed,Superb,700.0,9.0,39.0
29117,Ban Krut,Standard Triple Room,"2 beds (1 single, 1 large double)",Very good,59.0,8.2,57.0
29118,"Ao Prao, Ko Samed",Deluxe Cottage Hillside with special price,1 large double bed,Superb,314.0,9.1,76.0
29119,Surin,Standard Queen Room,1 large double bed,Superb,24.0,9.3,7.0
29120,Khlung,Standard Double Room,1 double bed,Good,14.0,7.4,5.0
29121,Ko Jum,Standard Villa,Entire villa • 1 bedroom • 1 living room • 1 bathroom • 645.8feet²1 extra-large double bed,Fabulous,53.0,8.8,54.0
29122,"Klong Nin Beach, Ko Lanta",Basic Double Room,1 large double bed,Good,39.0,7.4,112.0
29123,Phra Nakhon Si Ayutthaya,Standard Triple Room,"2 beds (1 large double, 1 futon)",Very good,24.0,8.0,309.0
29124,Chiang Mai,Deluxe Double or Twin Room,2 single beds,Superb,97.0,9.1,37.0
